Orthogroup	gbM	teM	unM	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_unM	percent_Unclassified	percent_Missing	cluster
N0.HOG0016197	36	3	3	5	2	49	0.679245283018868	0.0545454545454545	0.0638297872340425	0.0746268656716418	0.0363636363636364	1
N0.HOG0016198	3	2	26	17	1	49	0.0588235294117647	0.0333333333333333	0.604651162790698	0.293103448275862	0.0192307692307692	3
N0.HOG0016199	21	2	7	18	1	49	0.4375	0.0392156862745098	0.152173913043478	0.246575342465753	0.0169491525423729	1
N0.HOG0016200	22	1	9	19	2	53	0.252873563218391	0.0163934426229508	0.191489361702128	0.358490566037736	0.0363636363636364	2
N0.HOG0016201	6	3	21	17	3	50	0.105263157894737	0.06	0.428571428571429	0.288135593220339	0.0588235294117647	2
N0.HOG0016202	4	3	22	18	2	49	0.102564102564103	0.0566037735849057	0.523809523809524	0.211764705882353	0.0408163265306122	3
N0.HOG0016203	20	3	12	12	2	49	0.37037037037037	0.0576923076923077	0.244897959183673	0.157894736842105	0.0408163265306122	1
N0.HOG0016204	12	1	17	16	1	47	0.118811881188119	0.02	0.369565217391304	0.20253164556962	0.0212765957446809	2
N0.HOG0016205	7	6	16	20	2	51	0.0769230769230769	0.113207547169811	0.340425531914894	0.238095238095238	0.0408163265306122	2
N0.HOG0016206	2	1	16	24	3	46	0.025	0.0172413793103448	0.333333333333333	0.338028169014085	0.0638297872340425	2
N0.HOG0016207	24	0	13	10	1	48	0.436363636363636	0	0.26530612244898	0.111111111111111	0.0178571428571429	1
N0.HOG0016208	24	1	7	13	0	45	0.324324324324324	0.0163934426229508	0.148936170212766	0.213114754098361	0	1
N0.HOG0016209	30	1	10	5	5	51	0.638297872340426	0.0172413793103448	0.212765957446809	0.0862068965517241	0.0980392156862745	1
N0.HOG0016210	5	1	19	19	1	45	0.0980392156862745	0.0204081632653061	0.404255319148936	0.372549019607843	0.0196078431372549	2
N0.HOG0016211	26	1	6	14	3	50	0.440677966101695	0.0192307692307692	0.125	0.274509803921569	0.0545454545454545	1
N0.HOG0016213	13	1	19	13	1	47	0.216666666666667	0.0175438596491228	0.38	0.26	0.0181818181818182	2
N0.HOG0016214	31	0	10	9	1	51	0.543859649122807	0	0.217391304347826	0.2	0.0185185185185185	1
N0.HOG0016215	7	3	11	26	2	49	0.0833333333333333	0.0566037735849057	0.25	0.565217391304348	0.0416666666666667	2
N0.HOG0016216	16	1	11	19	2	49	0.313725490196078	0.0178571428571429	0.234042553191489	0.223529411764706	0.0476190476190476	2
N0.HOG0016227	3	0	24	17	3	47	0.036144578313253	0	0.545454545454545	0.293103448275862	0.0652173913043478	3
N0.HOG0016228	20	2	13	13	1	49	0.344827586206897	0.0425531914893617	0.30952380952381	0.154761904761905	0.0188679245283019	1
N0.HOG0016229	33	1	2	11	0	47	0.452054794520548	0.0161290322580645	0.0408163265306122	0.215686274509804	0	1
N0.HOG0016230	12	0	16	20	5	53	0.17910447761194	0	0.372093023255814	0.444444444444444	0.0925925925925926	2
N0.HOG0016231	28	1	5	14	1	49	0.538461538461538	0.0175438596491228	0.108695652173913	0.215384615384615	0.0178571428571429	1
N0.HOG0016232	24	0	6	16	1	47	0.444444444444444	0	0.127659574468085	0.285714285714286	0.0175438596491228	1
N0.HOG0016233	6	3	35	3	0	47	0.133333333333333	0.0612244897959184	0.777777777777778	0.0545454545454545	0	3
N0.HOG0016234	28	2	6	12	0	48	0.608695652173913	0.0384615384615385	0.130434782608696	0.162162162162162	0	1
N0.HOG0016235	12	1	12	25	1	51	0.176470588235294	0.0158730158730159	0.24	0.294117647058824	0.0178571428571429	2
N0.HOG0016237	29	2	5	9	0	45	0.467741935483871	0.0338983050847458	0.113636363636364	0.230769230769231	0	1
N0.HOG0016238	15	0	18	11	5	49	0.227272727272727	0	0.391304347826087	0.234042553191489	0.0793650793650794	2
N0.HOG0016239	16	1	15	14	0	46	0.30188679245283	0.0227272727272727	0.326086956521739	0.162790697674419	0	1
N0.HOG0016240	9	0	26	9	2	46	0.147540983606557	0	0.553191489361702	0.108433734939759	0.0350877192982456	3
N0.HOG0016241	21	0	7	19	1	48	0.362068965517241	0	0.155555555555556	0.372549019607843	0.0208333333333333	2
N0.HOG0016242	9	2	23	8	5	47	0.111111111111111	0.0344827586206897	0.479166666666667	0.156862745098039	0.0892857142857143	3
N0.HOG0016243	6	1	26	8	2	43	0.0882352941176471	0.0192307692307692	0.634146341463415	0.150943396226415	0.0384615384615385	3
N0.HOG0016244	10	3	14	17	2	46	0.181818181818182	0.06	0.28	0.309090909090909	0.0384615384615385	2
N0.HOG0016246	19	1	12	12	2	46	0.316666666666667	0.0185185185185185	0.27906976744186	0.2	0.0465116279069767	1
N0.HOG0016247	19	0	15	6	1	41	0.404255319148936	0	0.3125	0.0909090909090909	0.0181818181818182	1
N0.HOG0016248	1	0	34	5	3	43	0.0204081632653061	0	0.772727272727273	0.0769230769230769	0.0526315789473684	3
N0.HOG0016250	14	1	16	15	3	49	0.25	0.0178571428571429	0.333333333333333	0.241935483870968	0.0576923076923077	2
N0.HOG0016252	20	0	10	18	3	51	0.363636363636364	0	0.208333333333333	0.409090909090909	0.0588235294117647	2
N0.HOG0016253	37	0	6	4	1	48	0.672727272727273	0	0.122448979591837	0.0909090909090909	0.02	1
N0.HOG0016254	16	2	17	11	2	48	0.347826086956522	0.0434782608695652	0.354166666666667	0.229166666666667	0.0408163265306122	2
N0.HOG0016255	21	1	4	21	1	48	0.235955056179775	0.0172413793103448	0.0869565217391304	0.5	0.0181818181818182	2
N0.HOG0016256	2	1	34	0	2	39	0.0273972602739726	0.0169491525423729	0.739130434782609	0	0.0384615384615385	3
N0.HOG0016257	0	2	30	11	1	44	0	0.0377358490566038	0.588235294117647	0.150684931506849	0.0208333333333333	3
N0.HOG0016259	4	3	27	6	6	46	0.0563380281690141	0.0555555555555556	0.574468085106383	0.109090909090909	0.109090909090909	3
N0.HOG0016262	31	1	7	7	1	47	0.3875	0.0192307692307692	0.152173913043478	0.0813953488372093	0.0222222222222222	1
N0.HOG0016264	16	2	10	17	4	49	0.222222222222222	0.0434782608695652	0.204081632653061	0.303571428571429	0.0869565217391304	2
N0.HOG0016265	3	3	22	21	3	52	0.0555555555555556	0.0588235294117647	0.448979591836735	0.228260869565217	0.0625	3
N0.HOG0016270	2	2	35	3	4	46	0.028169014084507	0.0317460317460317	0.760869565217391	0.0697674418604651	0.0784313725490196	3
N0.HOG0016271	14	1	13	21	1	50	0.264150943396226	0.0163934426229508	0.282608695652174	0.362068965517241	0.0196078431372549	2
N0.HOG0016273	28	2	7	12	0	49	0.56	0.0350877192982456	0.148936170212766	0.144578313253012	0	1
N0.HOG0016274	13	3	9	23	1	49	0.175675675675676	0.0555555555555556	0.183673469387755	0.365079365079365	0.0192307692307692	2
N0.HOG0016275	2	1	29	11	2	45	0.0235294117647059	0.0192307692307692	0.617021276595745	0.203703703703704	0.0377358490566038	3
N0.HOG0016276	11	0	13	21	2	47	0.120879120879121	0	0.276595744680851	0.388888888888889	0.037037037037037	2
N0.HOG0016277	9	1	17	20	1	48	0.145161290322581	0.0192307692307692	0.361702127659574	0.263157894736842	0.0192307692307692	2
N0.HOG0016278	19	5	11	11	1	47	0.372549019607843	0.087719298245614	0.255813953488372	0.234042553191489	0.0178571428571429	2
N0.HOG0016279	21	1	16	6	1	45	0.28	0.015625	0.372093023255814	0.0909090909090909	0.0222222222222222	1
N0.HOG0016280	25	1	6	18	0	50	0.297619047619048	0.0172413793103448	0.125	0.382978723404255	0	2
N0.HOG0016281	35	1	5	7	0	48	0.603448275862069	0.0172413793103448	0.104166666666667	0.111111111111111	0	1
N0.HOG0016282	16	1	12	10	2	41	0.326530612244898	0.0181818181818182	0.24	0.126582278481013	0.0377358490566038	1
N0.HOG0016283	34	2	5	7	2	50	0.693877551020408	0.037037037037037	0.111111111111111	0.112903225806452	0.0425531914893617	1
N0.HOG0016284	22	4	11	10	3	50	0.55	0.0888888888888889	0.234042553191489	0.212765957446809	0.0588235294117647	1
