Orthogroup	gbM	teM	Unmethylated	Unclassified	Missing	Total	percent_gbM	percent_teM	percent_Unmethylated	percent_Unclassified	percent_Missing	cluster
N0.HOG0014880	1	1	36	6	2	46	0.0217391304347826	0.0217391304347826	0.782608695652174	0.130434782608696	0.0434782608695652	3
N0.HOG0014884	34	3	7	13	0	57	0.596491228070175	0.0526315789473684	0.12280701754386	0.228070175438596	0	1
N0.HOG0014885	19	2	19	8	0	48	0.395833333333333	0.0416666666666667	0.395833333333333	0.166666666666667	0	1
N0.HOG0014886	3	0	33	7	5	48	0.0625	0	0.6875	0.145833333333333	0.104166666666667	3
N0.HOG0014887	39	2	3	1	3	48	0.8125	0.0416666666666667	0.0625	0.0208333333333333	0.0625	2
N0.HOG0014888	25	0	10	17	1	53	0.471698113207547	0	0.188679245283019	0.320754716981132	0.0188679245283019	1
N0.HOG0014889	22	0	13	13	0	48	0.458333333333333	0	0.270833333333333	0.270833333333333	0	1
N0.HOG0014899	17	2	9	23	2	53	0.320754716981132	0.0377358490566038	0.169811320754717	0.433962264150943	0.0377358490566038	1
N0.HOG0014913	29	2	9	11	4	55	0.527272727272727	0.0363636363636364	0.163636363636364	0.2	0.0727272727272727	2
N0.HOG0014914	35	4	3	5	1	48	0.729166666666667	0.0833333333333333	0.0625	0.104166666666667	0.0208333333333333	2
N0.HOG0014915	18	0	10	22	2	52	0.346153846153846	0	0.192307692307692	0.423076923076923	0.0384615384615385	1
N0.HOG0014916	0	0	29	16	1	46	0	0	0.630434782608696	0.347826086956522	0.0217391304347826	1
N0.HOG0014917	4	4	26	10	0	44	0.0909090909090909	0.0909090909090909	0.590909090909091	0.227272727272727	0	3
N0.HOG0014918	14	1	27	8	0	50	0.28	0.02	0.54	0.16	0	1
N0.HOG0014920	5	1	23	16	0	45	0.111111111111111	0.0222222222222222	0.511111111111111	0.355555555555556	0	1
N0.HOG0014921	21	5	16	4	4	50	0.42	0.1	0.32	0.08	0.08	1
N0.HOG0014922	37	2	4	2	0	45	0.822222222222222	0.0444444444444444	0.0888888888888889	0.0444444444444444	0	2
N0.HOG0014923	9	0	24	16	0	49	0.183673469387755	0	0.489795918367347	0.326530612244898	0	1
N0.HOG0014924	26	1	9	8	2	46	0.565217391304348	0.0217391304347826	0.195652173913043	0.173913043478261	0.0434782608695652	2
N0.HOG0014928	13	1	7	25	1	47	0.276595744680851	0.0212765957446809	0.148936170212766	0.531914893617021	0.0212765957446809	1
N0.HOG0014930	5	1	31	8	2	47	0.106382978723404	0.0212765957446809	0.659574468085106	0.170212765957447	0.0425531914893617	3
N0.HOG0014931	2	1	33	7	2	45	0.0444444444444444	0.0222222222222222	0.733333333333333	0.155555555555556	0.0444444444444444	3
N0.HOG0014936	35	0	2	10	1	48	0.729166666666667	0	0.0416666666666667	0.208333333333333	0.0208333333333333	2
N0.HOG0014940	3	2	23	17	2	47	0.0638297872340425	0.0425531914893617	0.48936170212766	0.361702127659574	0.0425531914893617	1
N0.HOG0014941	13	1	13	19	2	48	0.270833333333333	0.0208333333333333	0.270833333333333	0.395833333333333	0.0416666666666667	1
