Species,Classification,Orthogroup,Count
Gmax,gbM,OG0000039,25
Gmax,gbM,OG0000145,14
Gmax,gbM,OG0000150,12
Gmax,gbM,OG0000216,12
Gmax,TE.like,OG0000010,43
Gmax,TE.like,OG0000017,17
Gmax,TE.like,OG0000103,19
Gmax,TE.like,OG0000213,18
Gmax,TE.like,OG0004440,26
Gmax,Unmethylated,OG0000001,117
Gmax,Unmethylated,OG0000002,76
Gmax,Unmethylated,OG0000003,94
Gmax,Unmethylated,OG0000004,75
Gmax,Unmethylated,OG0000009,79
Gmax,Unclassified,OG0000010,16
Gmax,Unclassified,OG0000021,43
Gmax,Unclassified,OG0000046,17
Gmax,Unclassified,OG0000103,16
Gmax,Unclassified,OG0000636,18
Gmax,Missing,OG0000010,20
Gmax,Missing,OG0000021,17
Gmax,Missing,OG0000046,19
Gmax,Missing,OG0000913,24
Gmax,Missing,OG0001569,15
Graimondii,gbM,OG0000026,23
Graimondii,gbM,OG0000029,19
Graimondii,gbM,OG0000038,14
Graimondii,gbM,OG0000039,20
Graimondii,gbM,OG0000042,14
Graimondii,TE.like,OG0000005,33
Graimondii,TE.like,OG0000024,35
Graimondii,TE.like,OG0000046,33
Graimondii,TE.like,OG0000111,76
Graimondii,TE.like,OG0000213,44
Graimondii,Unmethylated,OG0000000,43
Graimondii,Unmethylated,OG0000001,95
Graimondii,Unmethylated,OG0000002,54
Graimondii,Unmethylated,OG0000020,50
Graimondii,Unmethylated,OG0001074,49
Graimondii,Unclassified,OG0000004,10
Graimondii,Unclassified,OG0000012,18
Graimondii,Unclassified,OG0000016,14
Graimondii,Unclassified,OG0000019,10
Graimondii,Unclassified,OG0000021,12
Graimondii,Missing,OG0000051,13
Graimondii,Missing,OG0003940,6
Graimondii,Missing,OG0008332,8
Graimondii,Missing,OG0012390,6
Graimondii,Missing,OG0018819,7
Ljaponicus,gbM,OG0000000,20
Ljaponicus,gbM,OG0000003,40
Ljaponicus,gbM,OG0000007,19
Ljaponicus,gbM,OG0000013,20
Ljaponicus,gbM,OG0000019,19
Ljaponicus,TE.like,OG0000000,46
Ljaponicus,TE.like,OG0000017,67
Ljaponicus,TE.like,OG0000262,54
Ljaponicus,TE.like,OG0000290,37
Ljaponicus,TE.like,OG0011076,44
Ljaponicus,Unmethylated,OG0000000,55
Ljaponicus,Unmethylated,OG0000001,37
Ljaponicus,Unmethylated,OG0000002,35
Ljaponicus,Unmethylated,OG0000007,34
Ljaponicus,Unmethylated,OG0000009,26
Ljaponicus,Unclassified,OG0000000,35
Ljaponicus,Unclassified,OG0000003,18
Ljaponicus,Unclassified,OG0000007,24
Ljaponicus,Unclassified,OG0003414,15
Ljaponicus,Unclassified,OG0004220,19
Ljaponicus,Missing,OG0000000,21
Ljaponicus,Missing,OG0000005,25
Ljaponicus,Missing,OG0000017,23
Ljaponicus,Missing,OG0004220,58
Ljaponicus,Missing,OG0011775,31
Macuminata,gbM,OG0000029,22
Macuminata,gbM,OG0000042,17
Macuminata,gbM,OG0000068,21
Macuminata,gbM,OG0000193,15
Macuminata,gbM,OG0000216,17
Macuminata,TE.like,OG0000010,10
Macuminata,TE.like,OG0000061,5
Macuminata,TE.like,OG0000076,5
Macuminata,TE.like,OG0000103,7
Macuminata,TE.like,OG0000352,5
Macuminata,TE.like,OG0000624,5
Macuminata,TE.like,OG0001380,5
Macuminata,TE.like,OG0004569,5
Macuminata,TE.like,OG0013385,10
Macuminata,Unmethylated,OG0000001,118
Macuminata,Unmethylated,OG0000009,40
Macuminata,Unmethylated,OG0000020,59
Macuminata,Unmethylated,OG0000045,43
Macuminata,Unmethylated,OG0000073,42
Macuminata,Unclassified,OG0000125,12
Macuminata,Unclassified,OG0000260,11
Macuminata,Unclassified,OG0000481,12
Macuminata,Unclassified,OG0000712,10
Macuminata,Unclassified,OG0000734,10
Macuminata,Missing,OG0000010,13
Macuminata,Missing,OG0000515,11
Macuminata,Missing,OG0013385,11
Macuminata,Missing,OG0013536,13
Macuminata,Missing,OG0017171,13
Mdomestica,gbM,OG0000003,22
Mdomestica,gbM,OG0000019,13
Mdomestica,gbM,OG0000039,24
Mdomestica,gbM,OG0000084,13
Mdomestica,gbM,OG0000145,12
Mdomestica,TE.like,OG0000003,69
Mdomestica,TE.like,OG0000010,42
Mdomestica,TE.like,OG0000012,97
Mdomestica,TE.like,OG0000030,64
Mdomestica,TE.like,OG0000033,38
Mdomestica,Unmethylated,OG0000000,65
Mdomestica,Unmethylated,OG0000001,95
Mdomestica,Unmethylated,OG0000002,41
Mdomestica,Unmethylated,OG0000005,52
Mdomestica,Unmethylated,OG0000083,40
Mdomestica,Unclassified,OG0000000,23
Mdomestica,Unclassified,OG0000003,56
Mdomestica,Unclassified,OG0000004,27
Mdomestica,Unclassified,OG0000006,30
Mdomestica,Unclassified,OG0000010,25
Mdomestica,Unclassified,OG0000013,23
Mdomestica,Missing,OG0000010,9
Mdomestica,Missing,OG0004952,77
Mdomestica,Missing,OG0012143,15
Mdomestica,Missing,OG0013332,9
Mdomestica,Missing,OG0015708,8
Mesculenta,gbM,OG0000003,11
Mesculenta,gbM,OG0000006,8
Mesculenta,gbM,OG0000039,16
Mesculenta,gbM,OG0000145,8
Mesculenta,gbM,OG0000216,10
Mesculenta,gbM,OG0000724,8
Mesculenta,TE.like,OG0000022,15
Mesculenta,TE.like,OG0000056,16
Mesculenta,TE.like,OG0000062,15
Mesculenta,TE.like,OG0011616,15
Mesculenta,TE.like,OG0013033,22
Mesculenta,Unmethylated,OG0000000,41
Mesculenta,Unmethylated,OG0000001,81
Mesculenta,Unmethylated,OG0000002,56
Mesculenta,Unmethylated,OG0000012,53
Mesculenta,Unmethylated,OG0000095,37
Mesculenta,Unclassified,OG0000022,8
