,tau,Feature
AT2G06645,0.963953405632042,AT2G06645
AT2G06667,1,AT2G06667
AT2G06675,0.974116219597725,AT2G06675
AT2G06845,0.871648206852823,AT2G06845
AT2G06850,0.344567763971483,AT2G06850
AT2G06904,0.962658806215969,AT2G06904
AT2G06906,0.96924522966396,AT2G06906
AT2G06908,0.963477466344051,AT2G06908
AT2G06925,0.249165733430878,AT2G06925
AT2G06960,0.939086976831888,AT2G06960
AT2G06983,0.932488083349952,AT2G06983
AT2G06990,0.118759016629855,AT2G06990
AT2G07000,0.882393617680483,AT2G07000
AT2G07020,0.92276662809355,AT2G07020
AT2G07040,0.778882664812464,AT2G07040
AT2G07050,0.14429876280539,AT2G07050
AT2G07110,0.962479941761228,AT2G07110
AT2G07120,0.955855400700885,AT2G07120
AT2G07140,0.783061000785617,AT2G07140
AT2G07170,0.328487054037793,AT2G07170
AT2G07180,0.432444159867641,AT2G07180
AT2G07190,0.908649160875535,AT2G07190
AT2G07200,0.963386845183837,AT2G07200
AT2G07215,0.824957479071622,AT2G07215
AT2G07240,0.82501701676951,AT2G07240
AT2G07280,0.955924787478974,AT2G07280
AT2G07290,0.983552058366639,AT2G07290
AT2G07310,0.967801277437931,AT2G07310
AT2G07340,0.177690621983152,AT2G07340
AT2G07360,0.136368291536547,AT2G07360
AT2G07440,0.944600343705362,AT2G07440
AT2G07505,0.98683346136857,AT2G07505
AT2G07560,0.84403545334727,AT2G07560
AT2G07565,0.955495369232432,AT2G07565
AT2G07640,0.905449941852048,AT2G07640
AT2G07771,0.987085143201406,AT2G07771
AT2G07773,0.943669881408965,AT2G07773
AT2G07655,0.76427231459274,AT2G07655
AT2G07776,0.971177158793698,AT2G07776
AT2G07749,1,AT2G07749
AT2G07777,0.97541435738293,AT2G07777
AT2G07671,0.991254127827983,AT2G07671
AT2G07779,0.911028674903254,AT2G07779
AT2G07672,NA,AT2G07672
AT2G07613,NA,AT2G07613
AT2G07684,NA,AT2G07684
AT2G07617,NA,AT2G07617
AT2G07621,0.94599207928945,AT2G07621
AT2G07673,0.996404490754647,AT2G07673
AT2G07674,0.831879974581823,AT2G07674
AT2G07751,0.989399004336008,AT2G07751
AT2G07675,0.983898910311728,AT2G07675
AT2G07676,0.811672389721474,AT2G07676
AT2G07768,0.982433711885642,AT2G07768
AT2G07623,1,AT2G07623
AT2G07678,0.896139398495461,AT2G07678
AT2G07669,0.908081325453993,AT2G07669
AT2G07625,NA,AT2G07625
AT2G07681,0.932334773631386,AT2G07681
AT2G07626,NA,AT2G07626
AT2G07627,NA,AT2G07627
AT2G07772,NA,AT2G07772
AT2G07628,NA,AT2G07628
AT2G07774,0.685349440633779,AT2G07774
AT2G07687,0.802859300814065,AT2G07687
AT2G07629,0.743797056004872,AT2G07629
AT2G07631,NA,AT2G07631
AT2G07632,1,AT2G07632
